,family,father,mother,midParent,children,childNum,gender,RandomNoise1,RandomNoise2,RandomNoise3,RandomNoise4,RandomNoise5,RandomNoise6,RandomNoise7,RandomNoise8,RandomNoise9,RandomNoise10,RandomNoise11,Child
1,1,1.9939,1.83794,0.7543,4,1,1,0.812055476,0.157116765,0.967278662,0.894648043,0.992268649,0.891539707,0.054138495,0.082247881,0.68614093,0.088985495,0.080753867,1.85928
2,1,1.9939,1.83794,0.7543,4,2,0,0.011466445,0.735583084,0.882160246,0.530215958,0.035433993,0.693085587,0.87205213,0.970758058,0.178827311,0.605940865,0.352317099,1.89829
3,1,1.9939,1.83794,0.7543,4,3,0,0.100532708,0.592723407,0.929053904,0.012217611,0.677841754,0.885481289,0.261260695,0.998051545,0.138651698,0.223412812,0.682816855,1.89281
4,1,1.9939,1.83794,0.7543,4,4,0,0.68776605,0.720396829,0.079487155,0.316330019,0.947059936,0.753540314,0.022711185,0.176824543,0.35060959,0.895535761,0.310216792,1.89281
5,2,1.9177,1.82423,0.7366,4,1,1,0.345851926,0.132800711,0.87892215,0.743255942,0.289675532,0.463461954,0.687951649,0.932743388,0.825112608,0.534989543,0.938803775,1.8669
6,2,1.9177,1.82423,0.7366,4,2,1,0.365441642,0.379168223,0.439642314,0.676281016,0.163979255,0.884584016,0.128437469,0.685114529,0.051457732,0.706816345,0.034234956,1.8415
7,2,1.9177,1.82423,0.7366,4,3,0,0.498306324,0.450761089,0.479145725,0.14571718,0.253269157,0.107175309,0.571395085,0.395974276,0.820446363,0.629759669,0.377778871,1.7968
8,2,1.9177,1.82423,0.7366,4,4,0,0.273653635,0.76127525,0.891427397,0.20187278,0.337916191,0.439834416,0.241559287,0.286462679,0.899685466,0.530613735,0.576074053,1.7968
9,3,1.905,1.75565,0.7206,2,1,1,0.798639983,0.605643252,0.276853212,0.116862239,0.707376157,0.397289986,0.205662402,0.201833927,0.708721939,0.555071033,0.245805733,1.8034
10,3,1.905,1.75565,0.7206,2,2,0,0.98525321,0.60249549,0.296226329,0.811268795,0.533255436,0.887419316,0.091030714,0.48677868,0.687796802,0.933235773,0.813960218,1.86538
11,4,1.905,1.75565,0.7206,5,1,1,0.270224388,0.633617011,0.544821216,0.520380139,0.14732216,0.926180288,0.007468121,0.277805061,0.372782894,0.408115413,0.239826605,1.7907
12,4,1.905,1.75565,0.7206,5,2,1,0.573594925,0.608951767,0.114516497,0.863134298,0.874638322,0.075677427,0.613442693,0.447469115,0.168073025,0.88532044,0.342910543,1.7399
13,4,1.905,1.75565,0.7206,5,3,0,0.60754404,0.016936046,0.003046762,0.61005076,0.105810503,0.378558823,0.705971067,0.612307781,0.310833534,0.915527144,0.876290437,1.83794
14,4,1.905,1.75565,0.7206,5,4,0,0.0574377,0.367251042,0.307461097,0.854659943,0.792748379,0.836413369,0.248186608,0.102720049,0.924116372,0.292179979,0.714000651,1.76936
15,4,1.905,1.75565,0.7206,5,5,0,0.835897868,0.644346724,0.130915663,0.314453865,0.331050177,0.406476318,0.131923072,0.640720241,0.431166133,0.520194713,0.358965909,1.72822
16,5,1.905,1.60477,0.6909,6,1,1,0.386253004,0.166458388,0.431532101,0.349931686,0.717618258,0.399527577,0.981895065,0.378384548,0.093887944,0.282731024,0.0375236,1.8288
17,5,1.905,1.60477,0.6909,6,2,1,0.110607923,0.313425083,0.992192401,0.939331839,0.296143037,0.564975314,0.502702691,0.9926255,0.747308349,0.528271886,0.94791047,1.7526
18,5,1.905,1.60477,0.6909,6,3,1,0.846066335,0.700388878,0.524223602,0.651600698,0.037063996,0.813330339,0.348948295,0.780288321,0.519107112,0.011120925,0.580919938,1.7272
19,5,1.905,1.60477,0.6909,6,4,0,0.256613103,0.66965422,0.161001852,0.25856033,0.353272368,0.185752257,0.123819499,0.603475882,0.324550009,0.952684056,0.604125748,1.82423
20,5,1.905,1.60477,0.6909,6,5,0,0.619304769,0.252254539,0.715450074,0.492302979,0.140517072,0.959493266,0.958902517,0.082659,0.096300612,0.425021441,0.360999638,1.7145
21,5,1.905,1.60477,0.6909,6,6,0,0.834592509,0.741147723,0.641567204,0.644599292,0.897663499,0.932151369,0.664929442,0.687784237,0.73936808,0.576367401,0.963520196,1.7145
22,6,1.8796,1.86538,0.7372,1,1,0,0.262851431,0.151576894,0.428427392,0.520785063,0.072941325,0.888790903,0.981478074,0.27904336,0.000287045,0.175942038,0.476702402,1.90652
23,7,1.8796,1.86538,0.7372,6,1,1,0.03107491,0.429750449,0.224747809,0.76826836,0.166069739,0.21719138,0.028084842,0.111203659,0.372493938,0.444610002,0.656435796,1.9431
24,7,1.8796,1.86538,0.7372,6,2,1,0.800326844,0.886822003,0.872816482,0.928284669,0.838237499,0.993242805,0.450566186,0.066672475,0.723952736,0.162949164,0.533914592,1.8796
25,7,1.8796,1.86538,0.7372,6,3,1,0.556563434,0.991060941,0.471521354,0.070363073,0.789979984,0.466252346,0.242337588,0.351122625,0.441270059,0.854537768,0.978876513,1.8542
26,7,1.8796,1.86538,0.7372,6,4,1,0.525325525,0.812570722,0.357578225,0.555368527,0.328540615,0.662931495,0.671574323,0.447688686,0.649573328,0.027076715,0.312210708,1.8542
27,7,1.8796,1.86538,0.7372,6,5,0,0.777147561,0.417840911,0.455198652,0.748185945,0.088159108,0.772553237,0.458715682,0.271172161,0.296590816,0.282262866,0.947397181,1.93396
28,7,1.8796,1.86538,0.7372,6,6,0,0.303002134,0.701034017,0.60225428,0.536654743,0.413204014,0.171741093,0.986746072,0.159760229,0.710470073,0.343684611,0.485774486,1.75565
29,8,1.8796,1.82423,0.7291,3,1,0,0.660048917,0.079386003,0.338157243,0.278839142,0.270729029,0.55486261,0.331701209,0.271087348,0.1330463,0.026062945,0.16932352,1.93396
30,8,1.8796,1.82423,0.7291,3,2,0,0.846366783,0.052450896,0.41238426,0.741026758,0.748360578,0.220696497,0.27400443,0.310161324,0.836071395,0.026346305,0.827084862,1.86538
31,8,1.8796,1.82423,0.7291,3,3,0,0.603024267,0.899324065,0.568470196,0.528968401,0.075044799,0.757743339,0.472697474,0.35525539,0.807928391,0.2768634,0.675841377,1.81051
32,9,1.8923,1.81051,0.7289,1,1,0,0.975249568,0.304074717,0.804676254,0.880878393,0.266243536,0.851359391,0.679265177,0.478352776,0.536203066,0.243340345,0.711817828,1.81051
33,10,1.8796,1.7968,0.7237,1,1,0,0.104252621,0.490332105,0.467879382,0.411583124,0.145138917,0.606859514,0.130705447,0.069736117,0.630809313,0.927285652,0.276898263,1.7968
34,11,1.8796,1.70078,0.7048,8,1,1,0.7678935,0.110947124,0.01539852,0.500889122,0.817134134,0.903551346,0.719927954,0.341228107,0.002961995,0.623692897,0.060396578,1.8796
35,11,1.8796,1.70078,0.7048,8,2,1,0.192209001,0.665193554,0.295831348,0.118083748,0.11122075,0.041301187,0.860892112,0.536829758,0.540347011,0.677511399,0.007593428,1.778
36,11,1.8796,1.70078,0.7048,8,3,0,0.461858213,0.478002949,0.208176065,0.252605807,0.465075814,0.686126546,0.421516879,0.418997791,0.150476958,0.080208298,0.259295539,1.86538
37,11,1.8796,1.70078,0.7048,8,4,0,0.763943042,0.226360686,0.903337313,0.053864543,0.160772687,0.237439652,0.326936695,0.286776518,0.289568843,0.039708453,0.617411735,1.83794
38,11,1.8796,1.70078,0.7048,8,5,0,0.525290793,0.193880411,0.275770251,0.593383228,0.137723789,0.166134697,0.376790312,0.531956969,0.510695036,0.866608751,0.338213419,1.83794
39,11,1.8796,1.70078,0.7048,8,6,0,0.716905731,0.5746457,0.007795824,0.757399344,0.194260968,0.013101625,0.651275758,0.552160516,0.582512808,0.248029947,0.337729684,1.81051
40,11,1.8796,1.70078,0.7048,8,7,0,0.742233991,0.99439029,0.110290855,0.336466003,0.247740472,0.605544305,0.172759034,0.715318681,0.175364798,0.815105033,0.079701452,1.74193
41,11,1.8796,1.70078,0.7048,8,8,0,0.961538439,0.294130504,0.48071186,0.326378655,0.58909473,0.472998076,0.062360214,0.501397005,0.494492422,0.347264096,0.254873663,1.72822
42,12,1.8796,1.67335,0.6994,1,1,0,0.904410733,0.879023594,0.614189289,0.053589254,0.384678188,0.875121402,0.746029545,0.770983939,0.237484616,0.779367306,0.510001729,1.78308
43,13,1.8542,1.83794,0.7268,2,1,1,0.442827553,0.367665064,0.919412765,0.379136999,0.426380122,0.506700128,0.977995132,0.232751605,0.287746394,0.958023541,0.638559861,1.8034
44,13,1.8542,1.83794,0.7268,2,2,0,0.607682801,0.181970901,0.929176459,0.362478469,0.643932264,0.643112934,0.074416459,0.294735157,0.173800907,0.333896972,0.036029209,1.70078
45,14,1.8542,1.83794,0.7268,2,1,1,0.115763491,0.348575081,0.40075115,0.655701134,0.522855478,0.767583963,0.069528778,0.190156856,0.165962224,0.773464543,0.37457084,1.7272
46,14,1.8542,1.83794,0.7268,2,2,1,0.404312569,0.517627672,0.27210144,0.430018283,0.254003191,0.892241228,0.488754476,0.571397924,0.773453112,0.843181975,0.73082661,1.7018
47,15,1.8542,1.82423,0.7241,3,1,1,0.777966439,0.055049769,0.669970869,0.838526284,0.635168753,0.026115027,0.907499361,0.253249633,0.920537244,0.138292568,0.316003667,1.8034
48,15,1.8542,1.82423,0.7241,3,2,1,0.32097696,0.031429541,0.834894845,0.361467916,0.6795048,0.272172849,0.970084427,0.784010578,0.997209367,0.632676889,0.347961387,1.7907
49,15,1.8542,1.82423,0.7241,3,3,0,0.764353038,0.935396457,0.900701913,0.072046202,0.04044089,0.688347351,0.553608603,0.697929725,0.837003433,0.168499102,0.988827617,1.82971
50,16,1.8542,1.78308,0.716,9,1,1,0.758738729,0.590410926,0.993962475,0.480048806,0.478773394,0.909889623,0.997536949,0.16916772,0.981408171,0.790581365,0.991991356,1.8288
51,16,1.8542,1.78308,0.716,9,2,1,0.019425714,0.464238243,0.162063373,0.403968369,0.969838629,0.682501569,0.067360939,0.864893607,0.880975653,0.41070766,0.882967092,1.7907
